なじむ,なじむ,get adapted to …
送別,そうべつ,farewell
特別な,とくべつな,special
誘う,さそう,invite
立場,たちば,position
立場上,たちばじょう,in one’s position
参加する,さんかする,take part in … / join
生まれつき,うまれつき,by nature
苦手な,にがてな,be poor at …
～ものだから,～ものだから,because …
耐える,たえる,stand
耐え難い,たえがたい,unbearable
どうしても,どうしても,whether sb like it or not
童謡,どうよう,children's song
力,ちから,power
頼り,たより,reliance
～かねる,～かねる,cannot …
白ける,しらける,spoil the atmosphere
向ける,むける,direct
浮かぶ,うかぶ,float
よそ,よそ,other places
自信,じしん,confidence
～ところ,～ところ,when …
えんりょ,えんりょ,hesitation
えんりょがちな,えんりょがちな,hesitant
勇気,ゆうき,courage
勇気づける,ゆうきづける,encourage
声をそろえる,こえをそろえる,(sing) in unison
間がある,まがある,there is a pause
見知らぬ,みしらぬ,unfamiliar
想像する,そうぞうする,imagine
夢,ゆめ,dream
～なりに,～なりに,in one's own way
それぞれ,それぞれ,each
声を合わせる,こえをあわせる,(sing) in unison
祝い,いわい,celebration
分かち合う,わかちあう,share
田植,たうえ,rice-planting
摘む,つむ,pick
網,あみ,net
浜,はま,beach
はげます,はげます,encourage
汗を流す,あせをながす,work hard
～ては,～ては,whenever … / … and …
がんばる,がんばる,work hard / do one's best
気づく,きづく,notice
楽しむ,たのしむ,enjoy
～に違いない,～にちがいない,must …
