複雑,ふくざつ,complicated; complex,大人の世界は複雑だ。
複写,ふくしゃ,copy; duplication,カーボン紙で複写する。
複数,ふくすう,multiple; several,複数の人の意見を参考にする。
払う,はらう,to pay; to brush off,ほこりを払う。 / 家賃を払う。
支払う,しはらう,to pay,公共料金を支払う。
沸騰,ふっとう,boiling,やかんのお湯が沸騰する。
沸く,わく,to boil; to gush out; to spring up,風呂が沸く。
沸かす,わかす,to boil (water),お湯を沸かして、お茶でも入れよう。
大仏,だいぶつ,Great Buddha statue,奈良の大仏を見物した。
仏教,ぶっきょう,Buddhism,私の家は代々、仏教徒だ。
仏,ほとけ,Buddha; Buddhist deity; deceased person (depending on context),仏様に手を合わせる。
花粉,かふん,pollen,花粉症で鼻水、涙が止まらない。
粉,こな,powder; flour,粉薬を飲む。
小麦粉,こむぎこ,wheat flour,小麦粉でパンを作る。
兵隊,へいたい,soldier; troops,兵隊が行進している。
壁画,へきが,mural; wall painting,ダヴィンチの「最後の晩餐」は有名な壁画だ。
壁,かべ,wall,壁に絵を飾る。
破片,はへん,fragment; shard,ガラスの破片が手に刺さった。
片道,かたみち,one-way (trip),片道の切符を買う。
片付く,かたづく,to be cleaned up; to be put in order,部屋の中が片付く。
片付ける,かたづける,to tidy up; to put away,荷物を片付ける。
辺,へん,area; vicinity; around,会場はどの辺ですか。
周辺,しゅうへん,surrounding area; vicinity,警備が厳しくなり、空港周辺は警官でいっぱいだった。
辺り,あたり,area; around; vicinity,辺りを見回す。
海辺,うみべ,beach; seaside,海辺を散歩する。
編集,へんしゅう,editing; compilation,ビデオを編集する。
編む,あむ,to knit; to braid,子どものためにセーターを編む。
保険,ほけん,insurance,生命保険に加入する。
保存,ほぞん,preservation; storage,肉は冷凍庫で保存すれば、３ヶ月はもつ。
保つ,たもつ,to keep; to maintain; to preserve,いつまでも若さを保ちたい。
捕獲,ほかく,capture; seizure,たぬきを捕獲する。
捕らえる,とらえる,to catch; to capture; to seize,犯人を捕らえる。
捕る,とる,"to catch (animals, insects); to take",猫がねずみを捕る。
捕まる,つかまる,to be caught; to be arrested; to get caught,連続放火魔が捕まった。
捕まえる,つかまえる,to catch; to arrest,逃げる泥棒を捕まえた。
候補,こうほ,candidate; nominee,優勝候補はAチームだ。
補う,おぎなう,to supplement; to compensate for,栄養不足をビタミン剤で補う。
