綿,わた,cotton; padding,この布団は綿がたくさん入っていて重い。
豊か,ゆたか,rich; abundant; plentiful,彼女は表情が豊かで魅力的だ。
給与,きゅうよ,salary; pay; wages,うちの会社は毎月、月末に給与が支払われる。
綿,めん,cotton,子供には綿のシャツを着せましょう。
兵隊,へいたい,soldier; troops,兵隊が行進している。
輸入,ゆにゅう,import,日本は食べるものの大半を輸入に頼っている。
死亡,しぼう,death,役所に死亡通知を届け出る。
迷信,めいしん,superstition,迷信を信じる。
貿易,ぼうえき,trade; commerce,諸外国と貿易する。
候補,こうほ,candidate; nominee,優勝候補はAチームだ。
破片,はへん,fragment; shard,ガラスの破片が手に刺さった。
亡くす,なくす,to lose (someone close),事故で息子を亡くしました。
暴れる,あばれる,to act violently; to rage,酒を飲んで暴れる。
優れる,すぐれる,excel; be superior; be excellent,このパソコンはA社のものより、優れている。
編む,あむ,to knit; to braid,子どものためにセーターを編む。
抱負,ほうふ,aspiration; ambition; resolution,新年の抱負を述べる。
坊ちゃん,ぼっちゃん,young boy; someone's son (polite),坊ちゃんはおいくつですか。
保つ,たもつ,to keep; to maintain; to preserve,いつまでも若さを保ちたい。
壁画,へきが,mural; wall painting,ダヴィンチの「最後の晩餐」は有名な壁画だ。
勇気,ゆうき,courage; bravery,何にでも立ち向かえる勇気が欲しい。
満ちる,みちる,to be full; to be filled,彼は自信に満ちた顔で、答えた。
包む,つつむ,to wrap; to cover,ふろしきで荷物を包む。
抱える,かかえる,"to hold; to carry; to have (problems; debts)",荷物を抱える。
乱暴,らんぼう,violence; roughness,女の子に乱暴してはいけません。
帽子,ぼうし,hat; cap,日差しが強いので、帽子をかぶる。
包装,ほうそう,wrapping; packaging,商品を包装して、お客様にお渡しする。
