抱負,ほうふ,aspiration; ambition; resolution,新年の抱負を述べる。
破片,はへん,fragment; shard,ガラスの破片が手に刺さった。
優秀,ゆうしゅう,excellent; outstanding,山田さんはとても優秀な人だ。
幼稚園,ようちえん,kindergarten,昼は子供を幼稚園に預けて働いている。
暴れる,あばれる,to act violently; to rage,酒を飲んで暴れる。
捕獲,ほかく,capture; seizure,たぬきを捕獲する。
給与,きゅうよ,salary; pay; wages,うちの会社は毎月、月末に給与が支払われる。
貿易,ぼうえき,trade; commerce,諸外国と貿易する。
兵隊,へいたい,soldier; troops,兵隊が行進している。
編集,へんしゅう,editing; compilation,ビデオを編集する。
沸騰,ふっとう,boiling,やかんのお湯が沸騰する。
埋設,まいせつ,"burying (pipes; cables); embedding",水道管を埋設する工事が行われる。
補う,おぎなう,to supplement; to compensate for,栄養不足をビタミン剤で補う。
棒,ぼう,stick; rod,棒を倒す。
（お）歳暮,（お）せいぼ,year-end gift,上司にお歳暮を贈る。
抱える,かかえる,"to hold; to carry; to have (problems, debts)",荷物を抱える。
候補,こうほ,candidate; nominee,優勝候補はAチームだ。
乱暴,らんぼう,violence; roughness,女の子に乱暴してはいけません。
